"车辆编号";"保险编号";"车主名字";"性别";"生日日期";"车主电话号码"
1132434;20324;"刘旺";"男";"19970813";18027327439
1132428;20328;"刘颖";"男";"19970814";17823722397
1132431;20326;"麦库";"男";"19970815";18027327433
1132436;20330;"权夏颖";"男";"19970816";16303824402
1132430;20332;"白精华";"女";"19970817";17820136294
1132435;20331;"王琳";"女";"19970818";18023423482
1132432;20325;"李静";"男";"19970819";17820136296
1132426;20329;"李碧华";"女";"19970820";17820136295
1132438;20323;"黄颖";"女";"19970821";17845933302
1132439;20327;"张也";"女";"19970822";17820136297
1132427;20321;"刘水";"女";"19970823";17845933316
1132425;20333;"王静";"男";"19970824";18023423494
1132433;20322;"林泰林";"女";"19970825";17820136293
1132437;20334;"王陆";"男";"19970826";17823722389
1132429;20320;"刘晶";"女";"19970827";16303824392
